Gene Symbol,Gene ID (HGNC),Disease Label,Disease ID (MONDO),MOI,SOP,Classification,Online Report_x,Classification Date,GCEP,Gene/Region,HGNC/ISCA,GRCh37,GRCh38,Haploinsufficiency,Triplosensitivity,Online Report_y,Date,Protein Name
KRAS,HGNC:6407,cardiofaciocutaneous syndrome,MONDO:0015280,AD,SOP5,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_248e0d6b-9300-4d17-a350-f742fa92c82c-2018-07-24T160000.000Z,2018-07-24T16:00:00.000Z,RASopathy Gene Curation Expert Panel,KRAS,HGNC:6407,chr12:25358180-25403863,chr12:25205246-25250929,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KRAS&subject=,2015-10-08T19:53:52Z,Not Found
CEP78,HGNC:25740,cone-rod dystrophy and hearing loss,MONDO:0014980,AR,SOP4,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_8149,2017-04-12T00:00:00,Hearing Loss Gene Curation Expert Panel,CEP78,HGNC:25740,chr9:80850991-80894606,chr9:78236075-78279690,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CEP78&subject=,2017-10-23T19:35:05Z,Not Found
TP73,HGNC:12003,"ciliary dyskinesia, primary, 47, and lissencephaly",MONDO:0030346,AR,SOP10,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_96b17463-2bd0-431c-a8df-0c1ac28a97ab-2023-09-14T160000.000Z,2023-09-14T16:00:00.000Z,Motile Ciliopathy Gene Curation Expert Panel,TP73,HGNC:12003,chr1:3569080-3652765,chr1:3652516-3736201,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=TP73&subject=,2012-07-06T20:45:02Z,Not Found
ALG2,HGNC:23159,ALG2-congenital disorder of glycosylation,MONDO:0011933,AR,SOP9,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f7cb8bd0-58b2-4644-a041-76f42f564fbc-2023-11-15T170000.000Z,2023-11-15T17:00:00.000Z,Congenital Disorders of Glycosylation Gene Curation Expert Panel,ALG2,HGNC:23159,chr9:101978707-101984224,chr9:99216425-99221942,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ALG2&subject=,2016-08-22T17:45:56Z,Not Found
TRDN,HGNC:12261,long QT syndrome,MONDO:0002442,AR,SOP7,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1278bd6a-6ac7-4556-87ea-f860027b2da5-2020-04-24T160000.000Z,2020-04-24T16:00:00.000Z,Long QT Syndrome Gene Curation Expert Panel,TRDN,HGNC:12261,chr6:123537484-123958095,chr6:123216339-123636950,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=TRDN&subject=,2016-08-22T17:52:59Z,Not Found
KCNQ1,HGNC:6294,short QT syndrome,MONDO:0000453,AD,SOP7,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5000dde0-156c-45b0-87db-35a935c69cb7-2020-10-27T160000.000Z,2020-10-27T16:00:00.000Z,Short QT Syndrome Gene Curation Expert Panel,KCNQ1,HGNC:6294,chr11:2466238-2870340,chr11:2445008-2849105,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KCNQ1&subject=,2020-10-13T16:21:49Z,Not Found
GCSH,HGNC:4208,glycine encephalopathy,MONDO:0011612,AR,SOP9,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d360db9d-24e7-415e-b4bc-59a2c6231189-2023-02-10T170000.000Z,2023-02-10T17:00:00.000Z,Aminoacidopathy Gene Curation Expert Panel,GCSH,HGNC:4208,chr16:81115550-81130000,chr16:81081945-81096395,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=GCSH&subject=,2016-08-22T17:48:52Z,Not Found
ACOX1,HGNC:119,Mitchell syndrome,MONDO:0030073,AD,SOP9,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2efeef00-0803-472b-8e25-080e4728c018-2022-12-29T170000.000Z,2022-12-29T17:00:00.000Z,Peroxisomal Disorders Gene Curation Expert Panel,ACOX1,HGNC:119,chr17:73937588-73975247,chr17:75941507-75979166,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ACOX1&subject=,2014-11-20T14:37:29Z,Not Found
SETD2,HGNC:18420,SETD2-related microcephaly-severe intellectual disability-multiple congenital anomalies syndrome,MONDO:0035706,AD,SOP9,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_12443e12-a359-40fb-afbf-b334e9b87b1d-2023-10-04T160000.000Z,2023-10-04T16:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SETD2,HGNC:18420,chr3:47057926-47205603,chr3:47016436-47164840,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SETD2&subject=,2022-03-08T17:28:07Z,Not Found
ATF6,HGNC:791,achromatopsia,MONDO:0018852,AR,SOP4,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_4842,2016-11-16T00:00:00,General Gene Curation Expert Panel,ATF6,HGNC:791,chr1:161736110-161933860,chr1:161766320-161964070,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ATF6&subject=,2017-01-12T19:47:53Z,Not Found
