Gene/Region,Disease Label,SOP,GRCh38,Protein Name
KRAS,cardiofaciocutaneous syndrome,SOP5,chr12:25205246-25250929,GTPase KRas
KRAS,cardiofaciocutaneous syndrome,SOP5,chr12:25205246-25250929,GTPase KRas
KRAS,cardiofaciocutaneous syndrome,SOP5,chr12:25205246-25250929,GTPase KRas
KRAS,cardiofaciocutaneous syndrome,SOP5,chr12:25205246-25250929,GTPase KRas
KRAS,Costello syndrome,SOP5,chr12:25205246-25250929,GTPase KRas
KRAS,Costello syndrome,SOP5,chr12:25205246-25250929,GTPase KRas
KRAS,Costello syndrome,SOP5,chr12:25205246-25250929,GTPase KRas
KRAS,Costello syndrome,SOP5,chr12:25205246-25250929,GTPase KRas
CEP78,cone-rod dystrophy and hearing loss,SOP4,chr9:78236075-78279690,Centrosomal protein of 78 kDa
CEP78,cone-rod dystrophy and hearing loss,SOP4,chr9:78236075-78279690,Centrosomal protein of 78 kDa
TP73,"ciliary dyskinesia, primary, 47, and lissencephaly",SOP10,chr1:3652516-3736201,Tumor protein p73
ALG2,ALG2-congenital disorder of glycosylation,SOP9,chr9:99216425-99221942,Programmed cell death protein 6
ALG2,ALG2-congenital disorder of glycosylation,SOP9,chr9:99216425-99221942,Programmed cell death protein 6
TRDN,long QT syndrome,SOP7,chr6:123216339-123636950,Triadin
TRDN,long QT syndrome,SOP7,chr6:123216339-123636950,Triadin
TRDN,long QT syndrome,SOP7,chr6:123216339-123636950,Triadin
KCNQ1,short QT syndrome,SOP7,chr11:2445008-2849105,Potassium voltage-gated channel subfamily KQT member 1
KCNQ1,short QT syndrome,SOP7,chr11:2445008-2849105,Potassium voltage-gated channel subfamily KQT member 1
KCNQ1,short QT syndrome,SOP7,chr11:2445008-2849105,Potassium voltage-gated channel subfamily KQT member 1
KCNQ1,short QT syndrome,SOP7,chr11:2445008-2849105,Potassium voltage-gated channel subfamily KQT member 1
KCNQ1,short QT syndrome,SOP7,chr11:2445008-2849105,Potassium voltage-gated channel subfamily KQT member 1
KCNQ1,short QT syndrome,SOP7,chr11:2445008-2849105,Potassium voltage-gated channel subfamily KQT member 1
KCNQ1,hypertrophic cardiomyopathy,SOP8,chr11:2445008-2849105,Potassium voltage-gated channel subfamily KQT member 1
KCNQ1,hypertrophic cardiomyopathy,SOP8,chr11:2445008-2849105,Potassium voltage-gated channel subfamily KQT member 1
KCNQ1,hypertrophic cardiomyopathy,SOP8,chr11:2445008-2849105,Potassium voltage-gated channel subfamily KQT member 1
KCNQ1,hypertrophic cardiomyopathy,SOP8,chr11:2445008-2849105,Potassium voltage-gated channel subfamily KQT member 1
KCNQ1,hypertrophic cardiomyopathy,SOP8,chr11:2445008-2849105,Potassium voltage-gated channel subfamily KQT member 1
KCNQ1,hypertrophic cardiomyopathy,SOP8,chr11:2445008-2849105,Potassium voltage-gated channel subfamily KQT member 1
GCSH,glycine encephalopathy,SOP9,chr16:81081945-81096395,Glycine cleavage system H protein
ACOX1,Mitchell syndrome,SOP9,chr17:75941507-75979166,Peroxisomal acyl-coenzyme A oxidase 1
ACOX1,Mitchell syndrome,SOP9,chr17:75941507-75979166,Peroxisomal acyl-coenzyme A oxidase 1
SETD2,SETD2-related microcephaly-severe intellectual disability-multiple congenital anomalies syndrome,SOP9,chr3:47016436-47164840,Histone-lysine N-methyltransferase SETD2
SETD2,SETD2-related microcephaly-severe intellectual disability-multiple congenital anomalies syndrome,SOP9,chr3:47016436-47164840,Histone-lysine N-methyltransferase SETD2
SETD2,SETD2-related microcephaly-severe intellectual disability-multiple congenital anomalies syndrome,SOP9,chr3:47016436-47164840,Histone-lysine N-methyltransferase SETD2
SETD2,SETD2-related neurodevelopmental disorder without or with macrocephaly/overgrowth,SOP9,chr3:47016436-47164840,Histone-lysine N-methyltransferase SETD2
SETD2,SETD2-related neurodevelopmental disorder without or with macrocephaly/overgrowth,SOP9,chr3:47016436-47164840,Histone-lysine N-methyltransferase SETD2
SETD2,SETD2-related neurodevelopmental disorder without or with macrocephaly/overgrowth,SOP9,chr3:47016436-47164840,Histone-lysine N-methyltransferase SETD2
ATF6,achromatopsia,SOP4,chr1:161766320-161964070,Cyclic AMP-dependent transcription factor ATF-6 alpha
ATF6,achromatopsia,SOP4,chr1:161766320-161964070,Cyclic AMP-dependent transcription factor ATF-6 alpha
ATF6,achromatopsia,SOP4,chr1:161766320-161964070,Cyclic AMP-dependent transcription factor ATF-6 alpha
SLC4A10,complex neurodevelopmental disorder,SOP11,chr2:161624416-161985270,Sodium-driven chloride bicarbonate exchanger
RPE65,RPE65-related dominant retinopathy,SOP8,chr1:68428822-68449954,Retinoid isomerohydrolase
RPE65,RPE65-related dominant retinopathy,SOP8,chr1:68428822-68449954,Retinoid isomerohydrolase
RPE65,RPE65-related dominant retinopathy,SOP8,chr1:68428822-68449954,Retinoid isomerohydrolase
RPE65,RPE65-related dominant retinopathy,SOP8,chr1:68428822-68449954,Retinoid isomerohydrolase
RPE65,RPE65-related dominant retinopathy,SOP8,chr1:68428822-68449954,Retinoid isomerohydrolase
RPE65,RPE65-related dominant retinopathy,SOP8,chr1:68428822-68449954,Retinoid isomerohydrolase
RPE65,RPE65-related recessive retinopathy,SOP8,chr1:68428822-68449954,Retinoid isomerohydrolase
RPE65,RPE65-related recessive retinopathy,SOP8,chr1:68428822-68449954,Retinoid isomerohydrolase
RPE65,RPE65-related recessive retinopathy,SOP8,chr1:68428822-68449954,Retinoid isomerohydrolase
RPE65,RPE65-related recessive retinopathy,SOP8,chr1:68428822-68449954,Retinoid isomerohydrolase
RPE65,RPE65-related recessive retinopathy,SOP8,chr1:68428822-68449954,Retinoid isomerohydrolase
RPE65,RPE65-related recessive retinopathy,SOP8,chr1:68428822-68449954,Retinoid isomerohydrolase
MYLK,familial thoracic aortic aneurysm and aortic dissection,SOP4,chr3:123610049-123884332,Myosin light chain kinase
MYLK,familial thoracic aortic aneurysm and aortic dissection,SOP4,chr3:123610049-123884332,Myosin light chain kinase
SCN1A,developmental and epileptic encephalopathy,SOP7,chr2:165984641-166149161,Sodium channel protein type 1 subunit alpha
SCN1A,developmental and epileptic encephalopathy,SOP7,chr2:165984641-166149161,Sodium channel protein type 1 subunit alpha
SCN1A,developmental and epileptic encephalopathy,SOP7,chr2:165984641-166149161,Sodium channel protein type 1 subunit alpha
SCN1A,developmental and epileptic encephalopathy,SOP7,chr2:165984641-166149161,Sodium channel protein type 1 subunit alpha
