,Gene Symbol,Gene ID (HGNC),Disease Label,Disease ID (MONDO),MOI_x,SOP,Classification,Online Report_x,Classification Date,GCEP,Gene/Region,HGNC/ISCA,GRCh37,GRCh38,Haploinsufficiency,Triplosensitivity,Online Report_y,Date,gene_symbol,gene_url,disease_label,mondo_id,disease_url,MOI_y
0,KRAS,HGNC:6407,cardiofaciocutaneous syndrome,MONDO:0015280,AD,SOP5,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_248e0d6b-9300-4d17-a350-f742fa92c82c-2018-07-24T160000.000Z,2018-07-24T16:00:00.000Z,RASopathy Gene Curation Expert Panel,KRAS,HGNC:6407,chr12:25358180-25403863,chr12:25205246-25250929,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KRAS&subject=,2015-10-08T19:53:52Z,KRAS,https://search.clinicalgenome.org/kb/genes/HGNC:6407,Noonan syndrome,MONDO:0018997,https://search.clinicalgenome.org/kb/conditions/MONDO:0018997,Autosomal dominant inheritance
1,KRAS,HGNC:6407,cardiofaciocutaneous syndrome,MONDO:0015280,AD,SOP5,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_248e0d6b-9300-4d17-a350-f742fa92c82c-2018-07-24T160000.000Z,2018-07-24T16:00:00.000Z,RASopathy Gene Curation Expert Panel,KRAS,HGNC:6407,chr12:25358180-25403863,chr12:25205246-25250929,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KRAS&subject=,2015-10-08T19:53:52Z,KRAS,https://search.clinicalgenome.org/kb/genes/HGNC:6407,cardiofaciocutaneous syndrome,MONDO:0015280,https://search.clinicalgenome.org/kb/conditions/MONDO:0015280,Autosomal dominant inheritance
2,KRAS,HGNC:6407,cardiofaciocutaneous syndrome,MONDO:0015280,AD,SOP5,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_248e0d6b-9300-4d17-a350-f742fa92c82c-2018-07-24T160000.000Z,2018-07-24T16:00:00.000Z,RASopathy Gene Curation Expert Panel,KRAS,HGNC:6407,chr12:25358180-25403863,chr12:25205246-25250929,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KRAS&subject=,2015-10-08T19:53:52Z,KRAS,https://search.clinicalgenome.org/kb/genes/HGNC:6407,Costello syndrome,MONDO:0009026,https://search.clinicalgenome.org/kb/conditions/MONDO:0009026,Autosomal dominant inheritance
3,KRAS,HGNC:6407,cardiofaciocutaneous syndrome,MONDO:0015280,AD,SOP5,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_248e0d6b-9300-4d17-a350-f742fa92c82c-2018-07-24T160000.000Z,2018-07-24T16:00:00.000Z,RASopathy Gene Curation Expert Panel,KRAS,HGNC:6407,chr12:25358180-25403863,chr12:25205246-25250929,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KRAS&subject=,2015-10-08T19:53:52Z,KRAS,https://search.clinicalgenome.org/kb/genes/HGNC:6407,Noonan syndrome 3,MONDO:0012371,https://search.clinicalgenome.org/kb/conditions/MONDO:0012371,
4,KRAS,HGNC:6407,Costello syndrome,MONDO:0009026,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_bc9a82d0-8447-454c-8d54-def792d20e1d-2018-07-24T160000.000Z,2018-07-24T16:00:00.000Z,RASopathy Gene Curation Expert Panel,KRAS,HGNC:6407,chr12:25358180-25403863,chr12:25205246-25250929,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KRAS&subject=,2015-10-08T19:53:52Z,KRAS,https://search.clinicalgenome.org/kb/genes/HGNC:6407,Noonan syndrome,MONDO:0018997,https://search.clinicalgenome.org/kb/conditions/MONDO:0018997,Autosomal dominant inheritance
5,KRAS,HGNC:6407,Costello syndrome,MONDO:0009026,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_bc9a82d0-8447-454c-8d54-def792d20e1d-2018-07-24T160000.000Z,2018-07-24T16:00:00.000Z,RASopathy Gene Curation Expert Panel,KRAS,HGNC:6407,chr12:25358180-25403863,chr12:25205246-25250929,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KRAS&subject=,2015-10-08T19:53:52Z,KRAS,https://search.clinicalgenome.org/kb/genes/HGNC:6407,cardiofaciocutaneous syndrome,MONDO:0015280,https://search.clinicalgenome.org/kb/conditions/MONDO:0015280,Autosomal dominant inheritance
6,KRAS,HGNC:6407,Costello syndrome,MONDO:0009026,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_bc9a82d0-8447-454c-8d54-def792d20e1d-2018-07-24T160000.000Z,2018-07-24T16:00:00.000Z,RASopathy Gene Curation Expert Panel,KRAS,HGNC:6407,chr12:25358180-25403863,chr12:25205246-25250929,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KRAS&subject=,2015-10-08T19:53:52Z,KRAS,https://search.clinicalgenome.org/kb/genes/HGNC:6407,Costello syndrome,MONDO:0009026,https://search.clinicalgenome.org/kb/conditions/MONDO:0009026,Autosomal dominant inheritance
7,KRAS,HGNC:6407,Costello syndrome,MONDO:0009026,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_bc9a82d0-8447-454c-8d54-def792d20e1d-2018-07-24T160000.000Z,2018-07-24T16:00:00.000Z,RASopathy Gene Curation Expert Panel,KRAS,HGNC:6407,chr12:25358180-25403863,chr12:25205246-25250929,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KRAS&subject=,2015-10-08T19:53:52Z,KRAS,https://search.clinicalgenome.org/kb/genes/HGNC:6407,Noonan syndrome 3,MONDO:0012371,https://search.clinicalgenome.org/kb/conditions/MONDO:0012371,
8,CEP78,HGNC:25740,cone-rod dystrophy and hearing loss,MONDO:0014980,AR,SOP4,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_8149,2017-04-12T00:00:00,Hearing Loss Gene Curation Expert Panel,CEP78,HGNC:25740,chr9:80850991-80894606,chr9:78236075-78279690,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CEP78&subject=,2017-10-23T19:35:05Z,CEP78,https://search.clinicalgenome.org/kb/genes/HGNC:25740,cone-rod dystrophy and hearing loss,MONDO:0014980,https://search.clinicalgenome.org/kb/conditions/MONDO:0014980,Autosomal recessive inheritance
9,CEP78,HGNC:25740,cone-rod dystrophy and hearing loss,MONDO:0014980,AR,SOP4,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_8149,2017-04-12T00:00:00,Hearing Loss Gene Curation Expert Panel,CEP78,HGNC:25740,chr9:80850991-80894606,chr9:78236075-78279690,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CEP78&subject=,2017-10-23T19:35:05Z,CEP78,https://search.clinicalgenome.org/kb/genes/HGNC:25740,cone-rod dystrophy and hearing loss 1,MONDO:0020778,https://search.clinicalgenome.org/kb/conditions/MONDO:0020778,
10,TP73,HGNC:12003,"ciliary dyskinesia, primary, 47, and lissencephaly",MONDO:0030346,AR,SOP10,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_96b17463-2bd0-431c-a8df-0c1ac28a97ab-2023-09-14T160000.000Z,2023-09-14T16:00:00.000Z,Motile Ciliopathy Gene Curation Expert Panel,TP73,HGNC:12003,chr1:3569080-3652765,chr1:3652516-3736201,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=TP73&subject=,2012-07-06T20:45:02Z,TP73,https://search.clinicalgenome.org/kb/genes/HGNC:12003,"ciliary dyskinesia, primary, 47, and lissencephaly",MONDO:0030346,https://search.clinicalgenome.org/kb/conditions/MONDO:0030346,Autosomal recessive inheritance
